geo,text,user
,"RT @i_Abhishek4BJP: That's Enough Reason For Hindus Why We Support Yogi Adityanath Ji 🙏

#UP_को_योगी_पसंद_है https://t.co/U0YxCV5Ige",mohit42261248
,"RT @i_Abhishek4BJP: That's Enough Reason For Hindus Why We Support Yogi Adityanath Ji 🙏

#UP_को_योगी_पसंद_है https://t.co/U0YxCV5Ige",shashan43460125
,RT @Newsbox_India: Samajwadi Party should be ready for another embarrassing defeat : says CM Yogi Adityanath. https://t.co/6HoMZgmYmy,BhagwatiParikh
,"RT @das_Subodh_1: #Gorakhpur
#Ayecarry #SaturdayMotivation
😎Today the book Gyan Ganga written by Sant Rampal Ji Maharaj was presented to th…",MukeshD77892696
,RT @iamFirki: rarely watch political stuff but yday watched lallantop interview of yogi adityanath and i clearly found yogi's clarity of th…,LavaKm
,"BSP chief @Mayawati today attacked UP CM Yogi Adityanath, daring the BJP leader to tell people that the ‘math’ in G… https://t.co/mjc3ER5Yhp",htlucknow
,"RT @KartikDayanand: Totally gobsmacked by what Boyapati and Balayya did with #Akhanda. Still coming to terms with it.

Has anyone informed…",agaddam
,"RT @KartikDayanand: Totally gobsmacked by what Boyapati and Balayya did with #Akhanda. Still coming to terms with it.

Has anyone informed…",ckgaddam
,"RT @i_Abhishek4BJP: That's Enough Reason For Hindus Why We Support Yogi Adityanath Ji 🙏

#UP_को_योगी_पसंद_है https://t.co/U0YxCV5Ige",Magu21885917
,"RT @shantanug_: Received blessings at #Akshardham in #NewJersey from Sadhu Gnanmunidas. 

Bhagwan Swaminarayan took birth in Chhapaiya &amp; li…",UmeshGo38619224
,"RT @ItsAjay_LD: That's Enough Reason For Hindus Why We Support Yogi Adityanath Ji 🙏

#हिंदुओं_की_आवाज_योगी

@YogiDevnath2 https://t.co/cIqD…",Devendrayadvbjp
,"RT @timesofindia: Uttar Pradesh Chief Minister Yogi Adityanath held a door to door election campaign in the Mohan Nagar area of Ghaziabad,…",Ranjana_307
,"RT @i_Abhishek4BJP: That's Enough Reason For Hindus Why We Support Yogi Adityanath Ji 🙏

#UP_को_योगी_पसंद_है https://t.co/U0YxCV5Ige",AmanMukati20
,RT @NewsArenaIndia: Yogi Adityanath : Samajwadi Party should be ready for an embarrassing defeat on 10th March.,smartgeyser
,"RT @i_Abhishek4BJP: That's Enough Reason For Hindus Why We Support Yogi Adityanath Ji 🙏

#UP_को_योगी_पसंद_है https://t.co/U0YxCV5Ige",desimunshi
,"RT @KartikDayanand: Totally gobsmacked by what Boyapati and Balayya did with #Akhanda. Still coming to terms with it.

Has anyone informed…",Mike_Velayudham
,"RT @i_Abhishek4BJP: That's Enough Reason For Hindus Why We Support Yogi Adityanath Ji 🙏

#UP_को_योगी_पसंद_है https://t.co/U0YxCV5Ige",Priyank24581981
,"RT @ANINewsUP: Uttar Pradesh Chief Minister Yogi Adityanath held a door to door election campaign in the Mohan Nagar area of Ghaziabad, thi…",heet2009
,"RT @KartikDayanand: Totally gobsmacked by what Boyapati and Balayya did with #Akhanda. Still coming to terms with it.

Has anyone informed…",Jayagan38891309
,"RT @KartikDayanand: Totally gobsmacked by what Boyapati and Balayya did with #Akhanda. Still coming to terms with it.

Has anyone informed…",RealManTDP
,"Totally gobsmacked by what Boyapati and Balayya did with #Akhanda. Still coming to terms with it.

Has anyone infor… https://t.co/AlPdOwWGrd",KartikDayanand
,RT @NewsArenaIndia: Yogi Adityanath : Samajwadi Party should be ready for an embarrassing defeat on 10th March.,npatel12376
,"RT @i_Abhishek4BJP: That's Enough Reason For Hindus Why We Support Yogi Adityanath Ji 🙏

#UP_को_योगी_पसंद_है https://t.co/U0YxCV5Ige",SudhaRaje
