geo,text,user
,RT @AHindinews: उत्तर प्रदेश: मुख्यमंत्री योगी आदित्यनाथ ने लखनऊ में टीम-9 के अधिकारियों के साथ कोविड संक्रमण के संदर्भ में समीक्षा बैठक की…,ambujawasthi
,"RT @MkliveIND: मुझे विश्वास है कि सारा सनातन धर्म एक होके योगी आदित्यनाथ जी को दुबारा मुख्यमंत्री जरूर बनाएंगे..??

YES              YES…",KrChoud42412520
,"RT @shantanug_: 1994 में 22 वर्ष के इस दृण संकल्प वाले युवा अजय सिंह बिष्ट ने नाथ पंथ में सन्यास लिया और योगी आदित्यनाथ का उदय हुआ 

पहचानि…",anjali9071
,RT @Aamitabh2: सपा गोरखपुर सदर सीट पर मुख्यमंत्री योगी आदित्यनाथ के खिलाफ दिवंगत भाजपा नेता उपेंद्र शुक्ला की पत्नी सुभावती शुक्ला को मैदान…,RiditRao
,"RT @KhyalirIND: जो भाई पर उंगली उठा रहे थे देख लो आंख फाड़ कर जहा से योगी आदित्यनाथ लड़ेगा, 
वही से चंद्रशेखर भाई लड़ेंगे ये होती है भाई अप…",Dharmen70121249
,"RT @News18UP: CM योगी आदित्यनाथ के राजनीतिक उत्तराधिकारी उपेंद्र शुक्ला ने थामा सपा का दामन.
https://t.co/qqHSJE9PaA",ImraghavDeepak
,"RT @khushumukku: योगी आदित्यनाथ जी केवल उत्तर-प्रदेश के मुख्यमंत्री प्रत्याशी नहीं हैं,
योगी आदित्यनाथ जी, भारत के हिन्दुओं के सुरक्षा की…",DevhansDh
,"@puneetsinghlive @RubikaLiyaquat @RubikaLiyaquat जी, योगी आदित्यनाथ जी से पुछिए #अयोध्या से क्यों भाग गये #गोरखपुर?… https://t.co/3uKPv0oSLm",ManoharLive
,"RT @Iajitdoval_: मेरा विश्वास है कि सारा सनातन धर्म एक होके योगी आदित्यनाथ जी को दुबारा मुख्यमंत्री जरुर बनाएगा 🙏

                  YES /…",Patienc99290909
,"RT @shalinidubey028: मेरे अलावा और कितने लोग चाहते हैं कि योगी आदित्यनाथ जी महाराज उत्तर प्रदेश के मुख्यमंत्री पुनः बने ??

""अपना नाम कमेंट…",Rajivsingh5577
,"RT @MODIfiedAbhinav: #हर_घर_कमल ✌️🙏🚩
हमारे यशस्वी प्रधानसेवक आदरणीय श्री #NarendraModi जी के मार्गदर्शन और कर्मयोगी मुख्यमंत्री आदरणीय योगी…",PawanKhurana111
