geo,text,user
,"RT @NewsArenaIndia: Uttar Pradesh News

BJP MLA Jai Chaubey who joined SP two months back was denied ticket by Akhilesh Yadav.",KshitizDixit7
,"RT @NewsArenaIndia: Uttar Pradesh News

BJP MLA Jai Chaubey who joined SP two months back was denied ticket by Akhilesh Yadav.",RAJanimalLover
,"RT @vijaygajera: This is how Akhilesh Yadav and his party will empower women in UP if they get selected for the government!

https://t.co/c…",vikkuthespidey
,"RT @NewsArenaIndia: Uttar Pradesh News

BJP MLA Jai Chaubey who joined SP two months back was denied ticket by Akhilesh Yadav.",ShyamjiIndian
,"RT @vijaygajera: This is how Akhilesh Yadav and his party will empower women in UP if they get selected for the government!

https://t.co/c…",whatta_world
,"RT @NewsArenaIndia: Uttar Pradesh News

BJP MLA Jai Chaubey who joined SP two months back was denied ticket by Akhilesh Yadav.",shubh08071
,"RT @NewsArenaIndia: Uttar Pradesh News

BJP MLA Jai Chaubey who joined SP two months back was denied ticket by Akhilesh Yadav.",manojdevil993
,"RT @vijaygajera: This is how Akhilesh Yadav and his party will empower women in UP if they get selected for the government!

https://t.co/c…",saranyathe3
,"RT @NewsArenaIndia: Uttar Pradesh News

BJP MLA Jai Chaubey who joined SP two months back was denied ticket by Akhilesh Yadav.",bulletbasya
,"RT @amitvegad: #Akhilesh_Yadav stand with rioters
#Akhilesh_Yadav stand with separatists
#Akhilesh_Yadav stand with divisive forces ....!!!…",truegrit1949
,"RT @NewsArenaIndia: Uttar Pradesh News

BJP MLA Jai Chaubey who joined SP two months back was denied ticket by Akhilesh Yadav.",PrabirkumarG
,"RT @NewsArenaIndia: Uttar Pradesh News

BJP MLA Jai Chaubey who joined SP two months back was denied ticket by Akhilesh Yadav.",Vicky99956
,"RT @Warlock_Shabby: Samajwadi party is always in support of Anti-nationals ~ Shivpal Yadav

That's why Shivpal joined hands with Akhilesh t…",JJjarya1
,RT @NewsArenaIndia: Akhilesh Yadav cancels his Rampur tour due to bad weather.,Chetan_12_
,"RT @NewsArenaIndia: Uttar Pradesh News

BJP MLA Jai Chaubey who joined SP two months back was denied ticket by Akhilesh Yadav.",Kgaurav1410
,"RT @NewsArenaIndia: Uttar Pradesh News

BJP MLA Jai Chaubey who joined SP two months back was denied ticket by Akhilesh Yadav.",JhutiyaS
,RT @RajeshMunat: This is how Akhilesh Yadav and his party will empower women in UP if they get selected for the government! https://t.co/q9…,ShrawanMrkamBJP
,"RT @NewsArenaIndia: Uttar Pradesh News

BJP MLA Jai Chaubey who joined SP two months back was denied ticket by Akhilesh Yadav.",sharmahardeep1
,RT @NewsArenaIndia: Akhilesh Yadav cancels his Rampur tour due to bad weather.,SitanshuDesai
,RT @AnkitIndiaReal: Mayawati has fielded maximum 44 muslims candidates in Western UP against 34 from SP+RLD and 34 from Congress. On 28 sea…,_asura_samraat_
,"RT @Kartik56294271: CHOCOLATE 🍫 Given by Akhilesh Yadav  to every girl in UP 
@yadavakhilesh 
@ChampAbhijeet 
@UPENDRA07842718 
@drarpitkus…",ChampAbhijeet
,"Only akhilesh yadav can solve this mystery . Laut aao sushant 
@hellwala @Johnny_Rathee @AdnanAliKhan555 @gillaanwala https://t.co/zLXvh0ZnpP",Bhakt68720223
,RT @AnkitIndiaReal: Mayawati has fielded maximum 44 muslims candidates in Western UP against 34 from SP+RLD and 34 from Congress. On 28 sea…,VadakkedathN
,RT @AnkitIndiaReal: Mayawati has fielded maximum 44 muslims candidates in Western UP against 34 from SP+RLD and 34 from Congress. On 28 sea…,Venkprasaj
,"RT @vijaygajera: This is how Akhilesh Yadav and his party will empower women in UP if they get selected for the government!

https://t.co/c…",StraightFac__e
,RT @NewsArenaIndia: Akhilesh Yadav cancels his Rampur tour due to bad weather.,Rajesh2804
,"RT @NewsArenaIndia: Uttar Pradesh News

BJP MLA Jai Chaubey who joined SP two months back was denied ticket by Akhilesh Yadav.",MohanRaj134
,"CHOCOLATE 🍫 Given by Akhilesh Yadav  to every girl in UP 
@yadavakhilesh 
@ChampAbhijeet 
@UPENDRA07842718 
@drarpitkushwaha 
#Akhilesh_Yadav 
#UttarPradeshElections https://t.co/VPUlTwJs1H",Kartik56294271
,RT @boomlive_in: BOOM found that the viral clip has been cropped out from a longer video and is being shared with a misleading claim. #Smri…,Thelullz
,"RT @NewsArenaIndia: Uttar Pradesh News

BJP MLA Jai Chaubey who joined SP two months back was denied ticket by Akhilesh Yadav.",SeithiVkalathur
,"RT @vijaygajera: This is how Akhilesh Yadav and his party will empower women in UP if they get selected for the government!

https://t.co/c…",jishubhattachar
,RT @sameepshastri: Akhilesh Yadav`s BIG charge: `Senior official took voter ID cards of juniors for fake voting` https://t.co/t7YkFN8fBS,sameepshastri
,"RT @NewsArenaIndia: Uttar Pradesh News

BJP MLA Jai Chaubey who joined SP two months back was denied ticket by Akhilesh Yadav.",VikasCh33232703
,"RT @SortedEagle: Akhilesh Yadav should question why people of Uttar Pradesh were insulted in West Bengal. During Bengal polls, Mamata Baner…",AmitGup56441958
,RT @AnkitIndiaReal: Mayawati has fielded maximum 44 muslims candidates in Western UP against 34 from SP+RLD and 34 from Congress. On 28 sea…,sen_sindh
,"RT @NewsArenaIndia: Uttar Pradesh News

BJP MLA Jai Chaubey who joined SP two months back was denied ticket by Akhilesh Yadav.",Chetan_12_
,RT @boomlive_in: BOOM found that the viral clip has been cropped out from a longer video and is being shared with a misleading claim. #Smri…,srijitofficial
,"RT @NewsArenaIndia: Uttar Pradesh News

BJP MLA Jai Chaubey who joined SP two months back was denied ticket by Akhilesh Yadav.",Swastika_Di
,"BOOM found that the viral clip has been cropped out from a longer video and is being shared with a misleading claim. #SmritiIrani can be heard attacking the Samajwadi Party in the original video.
#FakeNews #BOOOMFactCheck #UttarPradeshElections2022 
https://t.co/mkwOdei7J7",boomlive_in
,"RT @Pallaviswae0829: Akhilesh yadav's party also the same. If you vote them you are putting your own state in risk. 
Vote for BSP #BSP http…",KumarVikash_BSP
,"RT @Pallaviswae0829: Akhilesh yadav's party also the same. If you vote them you are putting your own state in risk. 
Vote for BSP #BSP http…",DRSADHANPDPLBSP
,RT @NewsArenaIndia: Akhilesh Yadav cancels his Rampur tour due to bad weather.,jalpshah
,"RT @NewsArenaIndia: Uttar Pradesh News

BJP MLA Jai Chaubey who joined SP two months back was denied ticket by Akhilesh Yadav.",impremsp
,"RT @vijaygajera: This is how Akhilesh Yadav and his party will empower women in UP if they get selected for the government!

https://t.co/c…",kiranp4912
,"RT @vijaygajera: This is how Akhilesh Yadav and his party will empower women in UP if they get selected for the government!

https://t.co/c…",rt_doppelganger
,"RT @vijaygajera: This is how Akhilesh Yadav and his party will empower women in UP if they get selected for the government!

https://t.co/c…",DRMISHR17888040
,"Suddenly seeing so many so called Congressis coming out in support of Akhilesh Yadav.There r very few Congressis only on twitter.Its easy to identify them. Rest r all Akhilesh ,Mamata fans .Atleast the ones who regularly appear on my TL.",boi_rani
,"RT @NewsArenaIndia: Uttar Pradesh News

BJP MLA Jai Chaubey who joined SP two months back was denied ticket by Akhilesh Yadav.",Yash0805
,"RT @NewsArenaIndia: Uttar Pradesh News

BJP MLA Jai Chaubey who joined SP two months back was denied ticket by Akhilesh Yadav.",amrendra_kk
,"UP Election: No Fine For Trains With 300, Why For Bikes With 3: Akhilesh Yadav’s Ally https://t.co/jzHHwerCVN",OnlineTheWiki
,"Akhilesh yadav's party also the same. If you vote them you are putting your own state in risk. 
Vote for BSP #BSP https://t.co/Tf9bnTbTIn",Pallaviswae0829
,"RT @vijaygajera: This is how Akhilesh Yadav and his party will empower women in UP if they get selected for the government!

https://t.co/c…",lzylion
