geo,text,user
,"RT @kpmaurya1: श्री अखिलेश यादव जी यह नई सपा है,आपको शर्म नहीं आती,आपकी पार्टी में कार्यकर्ता नहीं गुंडे,माफिया,अपराधी,दंगाई,भ्रष्टाचारी ही…",Awadhes80696623
,RT @samajwadiparty: मा0 राष्ट्रीय अध्यक्ष सपा श्री अखिलेश यादव जी एवं मा0 राष्ट्रीय अध्यक्ष आरएलडी श्री जयंत चौधरी जी की बिजनौर में संयुक्त…,ManishY81391505
,RT @anujakapurindia: मोदी जी का इंटरव्यू देखकर अखिलेश यादव समर्थक पत्रकार बौखला गए हैं 😂,Mewatrising
,"RT @drneerajrld: भाईचारा  जिंदाबाद 
नल, साईकिल, एक हैं
जयंत चौधरी, अखिलेश यादव एक हैं  
राष्ट्रीय लोकदल-समाजवादी पार्टी का गठबंधन
उत्तर प्र…",AlziberQuan
,"RT @samajwadiparty: जनता का अपार समर्थन बता रहा है, यूपी में बदलाव आ रहा है

राष्ट्रीय अध्यक्ष समाजवादी पार्टी श्री अखिलेश यादव जी एवं रा…",ManishY81391505
,"RT @bstvlive: Bijnaur

➡सपा अध्यक्ष @yadavakhilesh का बयान

➡वैक्सीन फ्री नहीं है- अखिलेश यादव

➡जनता के पैसे से वैक्सीन लगी है-अखिलेश

#Bi…",Abhishe01319166
,"RT @Deepud189Deepak: मननीय श्री अखिलेश जी हम बीएड टेट 2011 तरफ से आपको कोटि कोटि धन्यवाद।आपने हमारी 10 वर्षों की पीड़ा को समझा।
माननीय श्री…",BharatiRamesh6
,"RT @rohitTeamBJP: अखिलेश यादव और उनके नेताओ को ब्राह्मणों और ठाकुरो का वोट नही चाहिये, 

आप खुद सुनिये और सोचिए इन सपाइयो की मानसिकता ! 

@…",shekharbaj
,"RT @Zee_Hindustan: संभल की रैली से CM योगी का अखिलेश यादव पर बड़ा हमला, कहा- 'पहले गरीबों का राशन माफिया खा जाते थे'

#UPElections2022 #Yog…",Iproud108
,"RT @sandeepkher7: सपा के घोषणा पत्र में नई घोषणाएं शामिल

अखिलेश यादव ने 2 नई घोषणाएं शामिल की

69000 शिक्षक भर्ती आरक्षण घोटाला ठीक किया…",Fiya96357247
,"RT @gyanu999: रूहेलखंड के इलाके में पिछली बार बीजेपी को बड़ी कामयाबी मिली थी, सफलता का ये रेकॉर्ड दोहराना भगवा दल के लिए कड़ी चुनौती तो है…",pathaksunils
,@yadavakhilesh समाजवादी पार्टी जिंदाबाद माननीय अखिलेश यादव जिंदाबाद जय हो विजय हो,NarendraS_P
,RT @Vinay_Dwivedii: आज उत्तर प्रदेश मतदान पर कंगना ने जाट बंधुओं से अपील की : मतदान से पहले एक बार सोचिए की कहीं आप का वोट औरंगजेब के समर्थ…,Supriya18060795
,"RT @janardanmis: अखिलेश यादव ने खुद की राजनैतिक कैरियर और अपनी पार्टी को तो ख़त्म किया ही  है, साथ साथ और कइयों को भी निपटा दिया 

बड़ा नेक…",Jaihind58460939
,RT @Vinay_Dwivedii: आज उत्तर प्रदेश मतदान पर कंगना ने जाट बंधुओं से अपील की : मतदान से पहले एक बार सोचिए की कहीं आप का वोट औरंगजेब के समर्थ…,SunilSa98157277
,"RT @Zee_Hindustan: संभल की रैली से CM योगी का अखिलेश यादव पर बड़ा हमला, कहा- 'पहले गरीबों का राशन माफिया खा जाते थे'

#UPElections2022 #Yog…",DwiveduAzas
