geo,text,user
,"RT @ImranTG1: लख़नऊ

नेहा सिंह राठौर का 'यूपी में का बा' गाना बजा सपा कार्यालय में

अखिलेश यादव ने लोकगीत कलाकार नेहा सिंह राठौर का 'यूपी…",sanjusi02437388
,RT @samajwadiparty: सपा सरकार बनने पर बहाल करेंगे पुरानी पेंशन: माननीय राष्ट्रीय अध्यक्ष श्री अखिलेश यादव जी। https://t.co/aVRChkdVQ2,AnandYa13710269
,"RT @News18India: #BreakingNews
अखिलेश यादव मैनपुरी से चुनाव लड़ सकते हैं

#AkhileshYadav #UPElections2022 #UPElections #Mainpuri #Samajwadi…",PRASHANTRATHA17
,"RT @RaniPG1: #अखिलेश_यादव के सपने में जब #श्रीकृष्ण #भगवान आते हैं!🙏

तो वह क्यों नहीं
#मथुरा से #चुनाव लड़ते?🤔

#कृष्ण भगवान उनको #सही जगह…",sachinksri
,"RT @DhanesverSolan2: ""बेटी पटाओ"" जैसे शब्द अगर राहुल गांधी या अखिलेश यादव या किसी मुस्लिम ने बोल दिए होते तो

अब तक भाजपा प्रवक्ता रुबिका,…",KamalYa56864128
,RT @samajwadiparty: सपा सरकार बनने पर बहाल करेंगे पुरानी पेंशन: माननीय राष्ट्रीय अध्यक्ष श्री अखिलेश यादव जी। https://t.co/aVRChkdVQ2,KrishangopalA2Y
,"RT @ikumarshobhit: #दंगा_प्रेमी_सपा
अखिलेश यादव के करीबी गायत्री प्रजापति उनकी सरकार के ऐसे चेहरे थे जिन पर भ्रष्टाचार के कई गंभीर आरोप थे।…",Vishakha_JI
,"RT @Tiger_chote: बेटे को बाप पे भरोसा नहीं
चाचा को भतीजे पे भरोसा नहीं
समधी को समधी पे भी भरोसा नहीं 
और अब बहू को ससुराल पे भरोसा नहीं 

औ…",Tiger_chote
,"सपा सरकार के 5 साल के कार्यकाल को याद किया जाए तो सीधे तौर पर अखिलेश यादव हर जगह फेल साबित हुए। कानून व्यवस्था, सां… https://t.co/zbJwNCZbsX",chetankapurwan
,"बेटे को बाप पे भरोसा नहीं
चाचा को भतीजे पे भरोसा नहीं
समधी को समधी पे भी भरोसा नहीं 
और अब बहू को ससुराल पे भरोसा न… https://t.co/7alx6nl701",Tiger_chote
,"सपा सरकार के 5 साल के कार्यकाल को याद किया जाए तो सीधे तौर पर अखिलेश यादव हर जगह फेल साबित हुए। कानून व्यवस्था, सां… https://t.co/6mRR1btxIK",ShivamP45518208
,"RT @AbhishektiBJP: सपा सरकार के 5 साल के कार्यकाल को याद किया जाए तो सीधे तौर पर अखिलेश यादव हर जगह फेल साबित हुए। कानून व्यवस्था, सांप्रदा…",chandra94467833
